ColumnHeader,Measurement,Gravels,Stones,Treatment,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
Drain_Tot(1),Drainage,Shallow,VeryStony,1F,1,R1,TippingSpoon,Count,Total,1,1
Drain_Tot(2),Drainage,Shallow,StoneFree,2D,2,R1,TippingSpoon,Count,Total,1,2
Drain_Tot(3),Drainage,Shallow,Stony,3E,3,R1,TippingSpoon,Count,Total,1,3
Drain_Tot(4),Drainage,Deep,VeryStony,4C,4,R1,TippingSpoon,Count,Total,1,4
Drain_Tot(5),Drainage,Deep,Stony,5B,5,R1,TippingSpoon,Count,Total,1,5
Drain_Tot(6),Drainage,Deep,StoneFree,6A,6,R1,TippingSpoon,Count,Total,1,6
Drain_Tot(7),Drainage,Shallow,StoneFree,7D,7,R2,TippingSpoon,Count,Total,1,7
Drain_Tot(8),Drainage,Deep,Stony,8B,8,R2,TippingSpoon,Count,Total,1,8
Drain_Tot(9),Drainage,Shallow,VeryStony,9F,9,R2,TippingSpoon,Count,Total,2,1
Drain_Tot(10),Drainage,Deep,StoneFree,10A,10,R2,TippingSpoon,Count,Total,2,2
Drain_Tot(11),Drainage,Deep,VeryStony,11C,11,R2,TippingSpoon,Count,Total,2,3
Drain_Tot(12),Drainage,Shallow,Stony,12E,12,R2,TippingSpoon,Count,Total,2,4
Drain_Tot(13),Drainage,Deep,Stony,13B,13,R3,TippingSpoon,Count,Total,2,5
Drain_Tot(14),Drainage,Shallow,StoneFree,14D,14,R3,TippingSpoon,Count,Total,2,6
Drain_Tot(15),Drainage,Deep,VeryStony,15C,15,R3,TippingSpoon,Count,Total,2,7
Drain_Tot(16),Drainage,Deep,StoneFree,16A,16,R3,TippingSpoon,Count,Total,2,8
Drain_Tot(17),Drainage,Shallow,Stony,17E,17,R3,TippingSpoon,Count,Total,3,1
Drain_Tot(18),Drainage,Shallow,VeryStony,18F,18,R3,TippingSpoon,Count,Total,3,2
Drain_Tot(19),Drainage,Deep,Stony,19B,19,R4,TippingSpoon,Count,Total,3,3
Drain_Tot(20),Drainage,Shallow,StoneFree,20D,20,R4,TippingSpoon,Count,Total,3,4
Drain_Tot(21),Drainage,Shallow,VeryStony,21F,21,R4,TippingSpoon,Count,Total,3,5
Drain_Tot(22),Drainage,Shallow,Stony,22E,22,R4,TippingSpoon,Count,Total,3,6
Drain_Tot(23),Drainage,Deep,StoneFree,23A,23,R4,TippingSpoon,Count,Total,3,7
Drain_Tot(24),Drainage,Deep,VeryStony,24C,24,R4,TippingSpoon,Count,Total,3,8
AirTC_Avg,,,,,,,,,,,
RH_Max,,,,,,,,,,,
SlrkW_Avg,,,,,,,,,,,
SlrMJ_Tot,,,,,,,,,,,
Rain_mm_Tot,,,,,,,,,,,
WS_ms_Avg,,,,,,,,,,,
